Delta,	Optimal,	Random,	QLearning,	EDO,	QBEA
0.0,	249550.0,	42292.53333333333,	105052.53333333334,	42292.53333333333,	229103.2
0.047619047619047616,	249550.0,	42292.53333333333,	105052.53333333334,	42292.53333333333,	230080.8
0.09523809523809523,	249550.0,	42292.53333333333,	105052.53333333334,	56594.4,	232802.33333333334
0.14285714285714285,	249550.0,	42292.53333333333,	105052.53333333334,	59133.4,	235948.86666666667
0.19047619047619047,	249550.0,	42292.53333333333,	105052.53333333334,	61878.46666666667,	237452.06666666668
0.23809523809523808,	249550.0,	42292.53333333333,	105052.53333333334,	63233.8,	239350.26666666666
0.2857142857142857,	249550.0,	42292.53333333333,	105052.53333333334,	64537.13333333333,	241076.13333333333
0.3333333333333333,	249550.0,	42292.53333333333,	105052.53333333334,	65201.46666666667,	241578.6
0.38095238095238093,	249550.0,	42292.53333333333,	105052.53333333334,	65794.86666666667,	242433.33333333334
0.42857142857142855,	249550.0,	42292.53333333333,	105052.53333333334,	66273.73333333334,	243030.2
0.47619047619047616,	249550.0,	42292.53333333333,	105052.53333333334,	66319.93333333333,	243364.8
0.5238095238095238,	249550.0,	42292.53333333333,	105052.53333333334,	66427.33333333333,	243489.53333333333
0.5714285714285714,	249550.0,	42292.53333333333,	105052.53333333334,	66949.93333333333,	243606.06666666668
0.6190476190476191,	249550.0,	42292.53333333333,	105052.53333333334,	67509.0,	243768.33333333334
0.6666666666666666,	249550.0,	42292.53333333333,	105052.53333333334,	67471.0,	243945.46666666667
0.7142857142857143,	249550.0,	42292.53333333333,	105052.53333333334,	67624.6,	243903.93333333332
0.7619047619047619,	249550.0,	42292.53333333333,	105052.53333333334,	68164.93333333333,	243821.6
0.8095238095238095,	249550.0,	42292.53333333333,	105052.53333333334,	68029.46666666666,	244062.73333333334
0.8571428571428571,	249550.0,	42292.53333333333,	105052.53333333334,	68008.4,	243981.46666666667
0.9047619047619048,	249550.0,	42292.53333333333,	105052.53333333334,	68153.8,	244185.73333333334
0.9523809523809523,	249550.0,	42292.53333333333,	105052.53333333334,	68036.93333333333,	244001.8
1.0,	249550.0,	42292.53333333333,	105052.53333333334,	70000.0,	243979.6
